model,seed,step,split,mean_score,std_score,n_samples
gemma-4-31B-it,36,0,train,3.7886,2.8897,2400
gemma-4-31B-it,36,0,val,3.8888,3.118,300
gemma-4-31B-it,36,1,train,2.9533,2.4204,2400
gemma-4-31B-it,36,1,val,3.0932,2.5844,300
gemma-4-31B-it,36,2,train,2.9012,2.3723,2400
gemma-4-31B-it,36,2,val,3.038,2.5314,300
gemma-4-31B-it,36,3,train,2.7865,2.2784,2400
gemma-4-31B-it,36,3,val,2.9032,2.4412,300
gemma-4-31B-it,36,4,train,2.8435,2.326,2400
gemma-4-31B-it,36,4,val,2.9755,2.4937,300
gemma-4-31B-it,36,5,train,2.676,2.1874,2400
gemma-4-31B-it,36,5,val,2.7876,2.3525,300
gemma-4-31B-it,36,6,train,2.7802,2.286,2400
gemma-4-31B-it,36,6,val,2.9169,2.4545,300
gemma-4-31B-it,36,7,train,2.6513,2.1769,2400
gemma-4-31B-it,36,7,val,2.7661,2.3515,300
gemma-4-31B-it,36,8,train,2.7766,2.285,2400
gemma-4-31B-it,36,8,val,2.921,2.4551,300
gemma-4-31B-it,36,9,train,2.6877,2.2124,2400
gemma-4-31B-it,36,9,val,2.8187,2.397,300
gemma-4-31B-it,36,10,train,2.6487,2.1775,2400
gemma-4-31B-it,36,10,val,2.7716,2.3681,300
gemma-4-31B-it,36,11,train,2.6235,2.1568,2400
gemma-4-31B-it,36,11,val,2.7407,2.3509,300
gemma-4-31B-it,36,12,train,2.5673,2.1093,2400
gemma-4-31B-it,36,12,val,2.6795,2.3028,300
gemma-4-31B-it,36,13,train,2.5512,2.1002,2400
gemma-4-31B-it,36,13,val,2.6617,2.2939,300
gemma-4-31B-it,36,14,train,2.5953,2.1427,2400
gemma-4-31B-it,36,14,val,2.7146,2.3347,300
gemma-4-31B-it,36,15,train,2.7025,2.2235,2400
gemma-4-31B-it,36,15,val,2.8372,2.4152,300
gemma-4-31B-it,36,16,train,2.5334,2.0756,2400
gemma-4-31B-it,36,16,val,2.6388,2.2833,300
gemma-4-31B-it,36,17,train,2.5055,2.051,2400
gemma-4-31B-it,36,17,val,2.6088,2.2512,300
gemma-4-31B-it,36,18,train,2.5929,2.1211,2400
gemma-4-31B-it,36,18,val,2.7044,2.3356,300
gemma-4-31B-it,36,19,train,2.5128,2.0636,2400
gemma-4-31B-it,36,19,val,2.6173,2.2731,300
gemma-4-31B-it,36,20,train,2.5113,2.0614,2400
gemma-4-31B-it,36,20,val,2.6127,2.2754,300
gemma-4-31B-it,36,21,train,2.5188,2.0624,2400
gemma-4-31B-it,36,21,val,2.6212,2.2823,300
gemma-4-31B-it,36,22,train,2.5809,2.1135,2400
gemma-4-31B-it,36,22,val,2.6931,2.3303,300
gemma-4-31B-it,36,23,train,2.5185,2.0621,2400
gemma-4-31B-it,36,23,val,2.6221,2.2825,300
gemma-4-31B-it,36,24,train,2.551,2.0894,2400
gemma-4-31B-it,36,24,val,2.6593,2.3101,300
gemma-4-31B-it,36,25,train,2.5417,2.0818,2400
gemma-4-31B-it,36,25,val,2.6483,2.3036,300
gemma-4-31B-it,36,26,train,2.5325,2.0753,2400
gemma-4-31B-it,36,26,val,2.6387,2.2975,300
gemma-4-31B-it,36,27,train,2.5307,2.072,2400
gemma-4-31B-it,36,27,val,2.637,2.2968,300
gemma-4-31B-it,36,28,train,2.5326,2.072,2400
gemma-4-31B-it,36,28,val,2.6389,2.2982,300
gemma-4-31B-it,36,29,train,2.5372,2.0734,2400
gemma-4-31B-it,36,29,val,2.6441,2.3012,300
gemma-4-31B-it,36,30,train,2.5306,2.0692,2400
gemma-4-31B-it,36,30,val,2.6369,2.2961,300
gemma-4-31B-it,36,30,test,2.5034,2.0999,300
