model,seed,step,split,mean_score,std_score,n_samples
Qwen3.5-27B,35,0,train,3.2108,2.5901,2400
Qwen3.5-27B,35,0,val,3.404,2.5625,300
Qwen3.5-27B,35,1,train,3.2757,2.5957,2400
Qwen3.5-27B,35,1,val,3.3389,2.5499,300
Qwen3.5-27B,35,2,train,3.14,2.4999,2400
Qwen3.5-27B,35,2,val,3.2371,2.4623,300
Qwen3.5-27B,35,3,train,3.0999,2.465,2400
Qwen3.5-27B,35,3,val,3.1935,2.4357,300
Qwen3.5-27B,35,4,train,3.1082,2.461,2400
Qwen3.5-27B,35,4,val,3.1848,2.442,300
Qwen3.5-27B,35,5,train,3.049,2.4147,2400
Qwen3.5-27B,35,5,val,3.1324,2.4039,300
Qwen3.5-27B,35,6,train,2.9443,2.3384,2400
Qwen3.5-27B,35,6,val,3.061,2.3454,300
Qwen3.5-27B,35,7,train,2.9987,2.3721,2400
Qwen3.5-27B,35,7,val,3.0831,2.3807,300
Qwen3.5-27B,35,8,train,3.088,2.4353,2400
Qwen3.5-27B,35,8,val,3.1365,2.4471,300
Qwen3.5-27B,35,9,train,3.1102,2.4487,2400
Qwen3.5-27B,35,9,val,3.1543,2.4597,300
Qwen3.5-27B,35,10,train,3.0546,2.4105,2400
Qwen3.5-27B,35,10,val,3.1101,2.4305,300
Qwen3.5-27B,35,11,train,2.9351,2.3244,2400
Qwen3.5-27B,35,11,val,3.0252,2.3582,300
Qwen3.5-27B,35,12,train,3.0483,2.4037,2400
Qwen3.5-27B,35,12,val,3.1053,2.4307,300
Qwen3.5-27B,35,13,train,3.0009,2.368,2400
Qwen3.5-27B,35,13,val,3.0705,2.4047,300
Qwen3.5-27B,35,14,train,2.9182,2.3087,2400
Qwen3.5-27B,35,14,val,3.0149,2.3524,300
Qwen3.5-27B,35,15,train,2.962,2.3359,2400
Qwen3.5-27B,35,15,val,3.0409,2.3822,300
Qwen3.5-27B,35,16,train,3.0342,2.3817,2400
Qwen3.5-27B,35,16,val,3.0944,2.4279,300
Qwen3.5-27B,35,17,train,2.9936,2.353,2400
Qwen3.5-27B,35,17,val,3.0651,2.4036,300
Qwen3.5-27B,35,18,train,2.9812,2.3465,2400
Qwen3.5-27B,35,18,val,3.0537,2.399,300
Qwen3.5-27B,35,19,train,2.9548,2.3287,2400
Qwen3.5-27B,35,19,val,3.0348,2.3842,300
Qwen3.5-27B,35,20,train,2.9911,2.3505,2400
Qwen3.5-27B,35,20,val,3.0631,2.4066,300
Qwen3.5-27B,35,21,train,2.9168,2.3,2400
Qwen3.5-27B,35,21,val,3.0101,2.3607,300
Qwen3.5-27B,35,22,train,2.9494,2.324,2400
Qwen3.5-27B,35,22,val,3.0297,2.3853,300
Qwen3.5-27B,35,23,train,2.968,2.339,2400
Qwen3.5-27B,35,23,val,3.0409,2.4004,300
Qwen3.5-27B,35,24,train,2.9614,2.3323,2400
Qwen3.5-27B,35,24,val,3.0363,2.3954,300
Qwen3.5-27B,35,25,train,2.9416,2.3186,2400
Qwen3.5-27B,35,25,val,3.0222,2.3833,300
Qwen3.5-27B,35,26,train,2.949,2.3247,2400
Qwen3.5-27B,35,26,val,3.0263,2.3903,300
Qwen3.5-27B,35,27,train,2.9505,2.3253,2400
Qwen3.5-27B,35,27,val,3.0275,2.3919,300
Qwen3.5-27B,35,28,train,2.9454,2.3209,2400
Qwen3.5-27B,35,28,val,3.0251,2.3874,300
Qwen3.5-27B,35,29,train,2.9489,2.3226,2400
Qwen3.5-27B,35,29,val,3.0284,2.3896,300
Qwen3.5-27B,35,30,train,2.9415,2.3178,2400
Qwen3.5-27B,35,30,val,3.0236,2.3854,300
Qwen3.5-27B,35,30,test,2.9346,2.1659,300
