model,seed,step,split,mean_score,std_score,n_samples
Qwen3.5-27B,36,0,train,3.2359,2.5991,2400
Qwen3.5-27B,36,0,val,3.341,2.5963,300
Qwen3.5-27B,36,1,train,3.0083,2.4569,2400
Qwen3.5-27B,36,1,val,3.0481,2.4449,300
Qwen3.5-27B,36,2,train,3.0595,2.499,2400
Qwen3.5-27B,36,2,val,3.1657,2.5126,300
Qwen3.5-27B,36,3,train,2.9867,2.4298,2400
Qwen3.5-27B,36,3,val,3.0631,2.4435,300
Qwen3.5-27B,36,4,train,3.0334,2.4823,2400
Qwen3.5-27B,36,4,val,3.1734,2.5036,300
Qwen3.5-27B,36,5,train,2.9076,2.3769,2400
Qwen3.5-27B,36,5,val,2.975,2.3826,300
Qwen3.5-27B,36,6,train,2.9789,2.4356,2400
Qwen3.5-27B,36,6,val,3.115,2.465,300
Qwen3.5-27B,36,7,train,2.9849,2.4372,2400
Qwen3.5-27B,36,7,val,3.1352,2.4719,300
Qwen3.5-27B,36,8,train,2.9593,2.4258,2400
Qwen3.5-27B,36,8,val,3.107,2.4553,300
Qwen3.5-27B,36,9,train,2.9075,2.3794,2400
Qwen3.5-27B,36,9,val,3.0248,2.4107,300
Qwen3.5-27B,36,10,train,2.9002,2.3698,2400
Qwen3.5-27B,36,10,val,3.0215,2.4028,300
Qwen3.5-27B,36,11,train,2.9406,2.4075,2400
Qwen3.5-27B,36,11,val,3.0972,2.4448,300
Qwen3.5-27B,36,12,train,2.9138,2.3833,2400
Qwen3.5-27B,36,12,val,3.0553,2.4234,300
Qwen3.5-27B,36,13,train,2.8951,2.3679,2400
Qwen3.5-27B,36,13,val,3.0277,2.4079,300
Qwen3.5-27B,36,14,train,2.8844,2.3604,2400
Qwen3.5-27B,36,14,val,3.0121,2.402,300
Qwen3.5-27B,36,15,train,2.9173,2.3875,2400
Qwen3.5-27B,36,15,val,3.0722,2.4308,300
Qwen3.5-27B,36,16,train,2.8959,2.3689,2400
Qwen3.5-27B,36,16,val,3.0376,2.4126,300
Qwen3.5-27B,36,17,train,2.8809,2.3569,2400
Qwen3.5-27B,36,17,val,3.011,2.401,300
Qwen3.5-27B,36,18,train,2.8983,2.3721,2400
Qwen3.5-27B,36,18,val,3.0442,2.4158,300
Qwen3.5-27B,36,19,train,2.9098,2.3812,2400
Qwen3.5-27B,36,19,val,3.0647,2.4261,300
Qwen3.5-27B,36,20,train,2.8901,2.3645,2400
Qwen3.5-27B,36,20,val,3.0318,2.4091,300
Qwen3.5-27B,36,21,train,2.8982,2.3719,2400
Qwen3.5-27B,36,21,val,3.047,2.4167,300
Qwen3.5-27B,36,22,train,2.9022,2.3759,2400
Qwen3.5-27B,36,22,val,3.0547,2.4209,300
Qwen3.5-27B,36,23,train,2.9001,2.3741,2400
Qwen3.5-27B,36,23,val,3.0517,2.4194,300
Qwen3.5-27B,36,24,train,2.9003,2.3742,2400
Qwen3.5-27B,36,24,val,3.0525,2.4198,300
Qwen3.5-27B,36,25,train,2.8978,2.3718,2400
Qwen3.5-27B,36,25,val,3.0486,2.4176,300
Qwen3.5-27B,36,26,train,2.8939,2.3681,2400
Qwen3.5-27B,36,26,val,3.0422,2.4142,300
Qwen3.5-27B,36,27,train,2.8912,2.3657,2400
Qwen3.5-27B,36,27,val,3.0377,2.4117,300
Qwen3.5-27B,36,28,train,2.8917,2.3663,2400
Qwen3.5-27B,36,28,val,3.039,2.4124,300
Qwen3.5-27B,36,29,train,2.8951,2.3695,2400
Qwen3.5-27B,36,29,val,3.0453,2.4156,300
Qwen3.5-27B,36,30,train,2.8936,2.3682,2400
Qwen3.5-27B,36,30,val,3.0428,2.4143,300
Qwen3.5-27B,36,30,test,2.8024,2.2529,300
