model,seed,step,split,mean_score,std_score,n_samples
Qwen3.5-27B,37,0,train,13.3215,8.0528,9669
Qwen3.5-27B,37,0,val,13.1063,8.167,1210
Qwen3.5-27B,37,1,train,5.5084,3.1322,9669
Qwen3.5-27B,37,1,val,5.5493,3.1231,1210
Qwen3.5-27B,37,2,train,3.9588,2.8519,9669
Qwen3.5-27B,37,2,val,3.9534,2.8951,1210
Qwen3.5-27B,37,3,train,3.6651,2.7675,9669
Qwen3.5-27B,37,3,val,3.6859,2.8018,1210
Qwen3.5-27B,37,4,train,3.5355,2.7791,9669
Qwen3.5-27B,37,4,val,3.5623,2.8171,1210
Qwen3.5-27B,37,5,train,3.382,2.6944,9669
Qwen3.5-27B,37,5,val,3.4009,2.7591,1210
Qwen3.5-27B,37,6,train,3.3126,2.69,9669
Qwen3.5-27B,37,6,val,3.339,2.7385,1210
Qwen3.5-27B,37,7,train,3.241,2.627,9669
Qwen3.5-27B,37,7,val,3.2704,2.6892,1210
Qwen3.5-27B,37,8,train,3.1644,2.6116,9669
Qwen3.5-27B,37,8,val,3.1887,2.6649,1210
Qwen3.5-27B,37,9,train,3.1675,2.6184,9669
Qwen3.5-27B,37,9,val,3.1975,2.6687,1210
Qwen3.5-27B,37,10,train,3.1112,2.5593,9669
Qwen3.5-27B,37,10,val,3.147,2.6191,1210
Qwen3.5-27B,37,11,train,3.1961,2.6733,9669
Qwen3.5-27B,37,11,val,3.2273,2.7379,1210
Qwen3.5-27B,37,12,train,3.0543,2.5203,9669
Qwen3.5-27B,37,12,val,3.0963,2.5835,1210
Qwen3.5-27B,37,13,train,3.0533,2.5461,9669
Qwen3.5-27B,37,13,val,3.0984,2.6149,1210
Qwen3.5-27B,37,14,train,3.0155,2.5041,9669
Qwen3.5-27B,37,14,val,3.0676,2.5732,1210
Qwen3.5-27B,37,15,train,3.0116,2.4899,9669
Qwen3.5-27B,37,15,val,3.0775,2.5568,1210
Qwen3.5-27B,37,16,train,2.9853,2.4878,9669
Qwen3.5-27B,37,16,val,3.0443,2.5659,1210
Qwen3.5-27B,37,17,train,3.054,2.5461,9669
Qwen3.5-27B,37,17,val,3.1123,2.6161,1210
Qwen3.5-27B,37,18,train,2.9826,2.491,9669
Qwen3.5-27B,37,18,val,3.048,2.5684,1210
Qwen3.5-27B,37,19,train,2.9449,2.4595,9669
Qwen3.5-27B,37,19,val,3.0106,2.5422,1210
Qwen3.5-27B,37,20,train,3.0999,2.6157,9669
Qwen3.5-27B,37,20,val,3.149,2.6942,1210
Qwen3.5-27B,37,21,train,2.968,2.4895,9669
Qwen3.5-27B,37,21,val,3.0359,2.5665,1210
Qwen3.5-27B,37,22,train,2.936,2.4519,9669
Qwen3.5-27B,37,22,val,3.0158,2.5349,1210
Qwen3.5-27B,37,23,train,2.9344,2.4704,9669
Qwen3.5-27B,37,23,val,3.0125,2.5568,1210
Qwen3.5-27B,37,24,train,2.9419,2.4788,9669
Qwen3.5-27B,37,24,val,3.0177,2.5676,1210
Qwen3.5-27B,37,25,train,2.9369,2.4742,9669
Qwen3.5-27B,37,25,val,3.0184,2.5638,1210
Qwen3.5-27B,37,26,train,3.0093,2.5435,9669
Qwen3.5-27B,37,26,val,3.0788,2.6328,1210
Qwen3.5-27B,37,27,train,2.9644,2.509,9669
Qwen3.5-27B,37,27,val,3.0407,2.5958,1210
Qwen3.5-27B,37,28,train,2.9377,2.4768,9669
Qwen3.5-27B,37,28,val,3.0223,2.5671,1210
Qwen3.5-27B,37,29,train,3.0592,2.5811,9669
Qwen3.5-27B,37,29,val,3.1281,2.6659,1210
Qwen3.5-27B,37,30,train,2.9559,2.4965,9669
Qwen3.5-27B,37,30,val,3.0361,2.584,1210
Qwen3.5-27B,37,30,test,3.0268,2.5211,1121
