phq9,n_posts,n_cds,pct_cds,generator
0,1080,533,49.351851851851855,qwen
1,1080,476,44.074074074074076,qwen
2,1080,497,46.01851851851852,qwen
3,1080,482,44.629629629629626,qwen
4,1070,417,38.97196261682243,qwen
5,1070,489,45.700934579439256,qwen
6,1070,502,46.91588785046729,qwen
7,1070,502,46.91588785046729,qwen
8,1070,531,49.626168224299064,qwen
9,1070,517,48.3177570093458,qwen
10,1070,637,59.532710280373834,qwen
11,1070,599,55.981308411214954,qwen
12,1070,654,61.12149532710281,qwen
13,1070,635,59.345794392523366,qwen
14,1070,671,62.71028037383178,qwen
15,1070,730,68.22429906542057,qwen
16,1070,728,68.03738317757009,qwen
17,1070,738,68.97196261682242,qwen
18,1070,731,68.3177570093458,qwen
19,1070,717,67.00934579439253,qwen
20,1070,783,73.17757009345794,qwen
21,1070,774,72.33644859813084,qwen
22,1070,766,71.58878504672897,qwen
23,1070,742,69.34579439252336,qwen
24,1070,763,71.30841121495327,qwen
25,1070,762,71.21495327102804,qwen
26,1070,779,72.80373831775701,qwen
27,1070,787,73.55140186915888,qwen
0,1080,405,37.5,gemma4
1,1080,454,42.03703703703704,gemma4
2,1080,452,41.851851851851855,gemma4
3,1080,432,40.0,gemma4
4,1070,412,38.504672897196265,gemma4
5,1070,398,37.19626168224299,gemma4
6,1070,387,36.16822429906542,gemma4
7,1070,377,35.23364485981308,gemma4
8,1070,395,36.91588785046729,gemma4
9,1070,385,35.981308411214954,gemma4
10,1070,460,42.99065420560748,gemma4
11,1070,516,48.22429906542056,gemma4
12,1070,504,47.10280373831776,gemma4
13,1070,484,45.23364485981308,gemma4
14,1070,479,44.76635514018692,gemma4
15,1070,520,48.598130841121495,gemma4
16,1070,504,47.10280373831776,gemma4
17,1070,524,48.97196261682243,gemma4
18,1070,515,48.13084112149533,gemma4
19,1070,526,49.1588785046729,gemma4
20,1070,505,47.19626168224299,gemma4
21,1070,524,48.97196261682243,gemma4
22,1070,520,48.598130841121495,gemma4
23,1070,487,45.51401869158879,gemma4
24,1070,515,48.13084112149533,gemma4
25,1070,490,45.794392523364486,gemma4
26,1070,510,47.66355140186916,gemma4
27,1070,520,48.598130841121495,gemma4
