,minimal,mild,moderate,"moderately
severe",severe
Dichotomous Reasoning,36.76898222940226,37.95161290322581,51.05095541401275,59.35126582278482,64.54638124362894
Magnification and Minimization,8.109854604200322,6.96774193548387,6.353503184713376,5.901898734177215,6.503567787971458
Should statements,3.4733441033925687,5.161290322580645,5.6687898089171975,6.1075949367088604,5.331294597349643
Labeling and mislabeling,5.4119547657512115,5.596774193548387,4.984076433121019,4.050632911392405,3.0682976554536188
Mindreading,0.8562197092084006,1.064516129032258,2.32484076433121,3.7341772151898733,6.646279306829765
Fortune-telling,0.3877221324717286,1.2903225806451613,2.006369426751592,1.8829113924050633,2.2426095820591234
Personalizing,0.420032310177706,0.6774193548387096,0.4299363057324841,0.870253164556962,0.8868501529051988
Overgeneralizing,0.3877221324717286,0.3064516129032258,0.15923566878980894,0.30063291139240506,0.19367991845056065
Mental Filtering,0.06462035541195477,0.11290322580645162,0.2070063694267516,0.20569620253164558,0.1529051987767584
Catastrophizing,0.06462035541195477,0.14516129032258066,0.12738853503184713,0.18987341772151897,0.16309887869520898
Emotional Reasoning,0.03231017770597738,0.11290322580645162,0.07961783439490447,0.04746835443037974,0.16309887869520898
Disqualifying the Positive,0.048465266558966075,0.03225806451612903,0.03184713375796178,0.04746835443037974,0.040774719673802244
