metric,param,S1,S1_conf,ST,ST_conf
C,alpha,0.8047480895177397,0.09349346015174205,0.8515835832009053,0.09677479665341368
C,n_clusters,0.014449515473504064,0.03994176472815306,0.10665358843606002,0.020490338633276553
C,latent_weight,0.023665734862371654,0.03551258491524761,0.07738865856625449,0.01777630473560153
C,dim,0.051690328418915306,0.05623047434878226,0.16702107210609585,0.026824096228839453
C,age_weight,-0.001905407860856585,0.030664079891528393,0.06324324239012795,0.011901970148653575
age_assort,alpha,0.3309141722058881,0.06554300388195237,0.35362109863027,0.04647262674661804
age_assort,n_clusters,0.01781436625785244,0.023685849362663308,0.034889312283657554,0.005950082632118514
age_assort,latent_weight,0.14508469766829235,0.05581787270673709,0.19121563872267086,0.0357676211443379
age_assort,dim,0.32792960218376555,0.09327694753417057,0.43802986215493955,0.06717263978586424
age_assort,age_weight,0.1384251679772252,0.06095190557885007,0.16584535809114517,0.030407122108763264
phq9_assort,alpha,0.041203881592161554,0.051095166958420604,0.22432888497557837,0.05564863444930875
phq9_assort,n_clusters,-0.025059238429634062,0.040839625642473204,0.14656450669672033,0.03501931211059542
phq9_assort,latent_weight,0.05947131397112936,0.032530982017733516,0.10860109868863772,0.03229560934105631
phq9_assort,dim,0.44114212458394647,0.13878454856946115,0.7663080116002128,0.13890164356610002
phq9_assort,age_weight,0.04296959889000548,0.04534802549104581,0.08717050265088633,0.01912062138729159
gamma,alpha,-0.07349146348611653,0.11454424515289054,0.7228564631067262,0.17222985656449838
gamma,n_clusters,-0.06751448557247901,0.10398901246072015,0.6291277367878364,0.1306456883757839
gamma,latent_weight,-0.04566110032798496,0.08958404794402168,0.4913241006364702,0.11667105335426517
gamma,dim,-0.015223424354840299,0.1348527795051182,0.7296006099134087,0.1558779151216842
gamma,age_weight,-0.04177833237722117,0.10032024623669143,0.5909661627386045,0.1285174839617754
ks,alpha,0.03140398210046861,0.1026148662385732,0.8195541036807986,0.13047936927745174
ks,n_clusters,0.024261708403161115,0.10134676313870994,0.6613609111769531,0.09549075440814582
ks,latent_weight,0.03204045345669306,0.0852445795154721,0.46555526343758963,0.08177433043362717
ks,dim,0.020469038191263014,0.1077234743948845,0.7544709568503561,0.1096647481680872
ks,age_weight,0.022872733373077547,0.08497728519184602,0.5903798727423796,0.09981913161454854
