alpha,stub_gamma,degree,dim,n_clusters,latent_weight,age_weight,mean_degree,gamma,ks,C,age_assort,phq9_assort,lcc,mean_loss,std_loss
4.94287109375,1.61865234375,8.25390625,3,2,18.38134765625,2.20947265625,5.67,2.1348807325125643,0.10523636162920938,0.20833572403171496,0.31762078943038874,0.07516019927776568,0.868,0.43704345858597077,0.2957263410461194
2.55224609375,1.61865234375,8.25390625,3,2,18.53369140625,2.20947265625,5.644,2.1369053303085965,0.10567817262628432,0.16350877499405667,0.20086698337444645,0.02344436882600482,0.869,0.5095500709460679,0.5017213019905601
4.94287109375,1.61865234375,8.25390625,3,2,18.53369140625,2.20947265625,5.656000000000001,2.135526033432261,0.10527017472132036,0.20912802723317786,0.3087803763727868,0.05732995807821798,0.842,0.6388158868661385,0.2873203542275382
4.94287109375,1.61865234375,8.25390625,6,2,18.53369140625,2.20947265625,5.24,2.102653323986324,0.12140577785034476,0.15596267873655223,0.04811515544013078,-0.028281739673319217,0.8370000000000001,0.7995927187806678,0.666059399767225
1.26025390625,1.60107421875,8.16796875,5,2,9.81201171875,2.20947265625,5.036,2.1851853515816124,0.11975878195465797,0.10810383881037196,0.03968567928737276,0.02050726429317904,0.8009999999999999,1.2948228573997362,1.111407459933152
2.49072265625,2.36279296875,5.38671875,4,2,2.95654296875,2.10400390625,4.79,4.419853700225403,0.1562091400886426,0.08269733279874276,0.49315499322685036,0.10387495409134273,1.0,2.6429957900474577,1.5902398027632465
3.22900390625,2.14306640625,5.24609375,3,2,13.08740234375,2.24462890625,4.192,4.2221492367414735,0.14272116998445603,0.1500446091279783,0.47555744386397913,0.08019286534486963,0.9970000000000001,3.016667610611248,3.6632171705903476
1.26904296875,2.44482421875,6.92578125,2,2,17.69580078125,2.12158203125,5.7219999999999995,4.613814312819509,0.16308560846452708,0.0799964967375345,0.5672102892770152,0.21264882840874516,1.0,3.4181103247545215,1.0117725076184685
1.05810546875,2.44482421875,6.92578125,2,2,17.69580078125,2.12158203125,5.71,4.634373546594929,0.16393720517340615,0.07065463317920194,0.49938296121202097,0.20311401981934188,1.0,3.518299837812298,1.1440143941377452
1.05810546875,2.44482421875,6.92578125,2,2,17.23876953125,2.12158203125,5.71,4.634373546594929,0.16393720517340615,0.07065463317920194,0.49938296121202097,0.20311401981934188,1.0,3.518299837812298,1.1440143941377452
