pair_type,band,setting_a,setting_b,rep_a,rep_b,agent_a,agent_b,delta
within,Moderate,11,11,1,2,0,0,2.3251030445098877
within,Moderate,11,11,1,3,0,0,0.5605428218841553
within,Moderate,11,11,2,3,0,0,2.885645866394043
within,Minimal,11,11,1,2,1,1,2.828908920288086
within,Minimal,11,11,1,3,1,1,2.348128318786621
within,Minimal,11,11,2,3,1,1,0.48078060150146484
within,Minimal,11,11,1,2,2,2,2.19990873336792
within,Minimal,11,11,1,3,2,2,2.0489087104797363
within,Minimal,11,11,2,3,2,2,0.1510000228881836
within,Moderate,11,11,1,2,3,3,1.733999252319336
within,Moderate,11,11,1,3,3,3,2.3832292556762695
within,Moderate,11,11,2,3,3,3,4.1172285079956055
within,Moderate,11,11,1,2,4,4,3.5530519485473633
within,Moderate,11,11,1,3,4,4,1.7537851333618164
within,Moderate,11,11,2,3,4,4,1.7992668151855469
within,Severe,11,11,1,2,5,5,0.0049266815185546875
within,Severe,11,11,1,3,5,5,1.5928115844726562
within,Severe,11,11,2,3,5,5,1.5878849029541016
within,Mod. Severe,11,11,1,2,6,6,3.614042282104492
within,Mod. Severe,11,11,1,3,6,6,3.16414737701416
within,Mod. Severe,11,11,2,3,6,6,0.44989490509033203
within,Mod. Severe,11,11,1,2,7,7,1.7457733154296875
within,Mod. Severe,11,11,1,3,7,7,2.555898666381836
within,Mod. Severe,11,11,2,3,7,7,0.8101253509521484
within,Minimal,11,11,1,2,8,8,0.2048184871673584
within,Minimal,11,11,1,3,8,8,1.7591981887817383
within,Minimal,11,11,2,3,8,8,1.5543797016143799
within,Mild,11,11,1,2,9,9,0.7672085762023926
within,Mild,11,11,1,3,9,9,2.700533390045166
within,Mild,11,11,2,3,9,9,1.9333248138427734
within,Moderate,11,11,1,2,10,10,0.17978763580322266
within,Moderate,11,11,1,3,10,10,5.822958469390869
within,Moderate,11,11,2,3,10,10,6.002746105194092
within,Severe,11,11,1,2,11,11,2.112274169921875
within,Severe,11,11,1,3,11,11,0.8018341064453125
within,Severe,11,11,2,3,11,11,2.9141082763671875
within,Minimal,11,11,1,2,12,12,0.5625970363616943
within,Minimal,11,11,1,3,12,12,0.5120854377746582
within,Minimal,11,11,2,3,12,12,0.05051159858703613
within,Moderate,11,11,1,2,13,13,0.7229499816894531
within,Moderate,11,11,1,3,13,13,2.2630200386047363
within,Moderate,11,11,2,3,13,13,2.9859700202941895
within,Moderate,11,11,1,2,14,14,6.63041877746582
within,Moderate,11,11,1,3,14,14,2.8336734771728516
within,Moderate,11,11,2,3,14,14,9.464092254638672
within,Severe,11,11,1,2,15,15,0.3878669738769531
within,Severe,11,11,1,3,15,15,1.6502914428710938
within,Severe,11,11,2,3,15,15,2.038158416748047
within,Minimal,11,11,1,2,16,16,0.19311094284057617
within,Minimal,11,11,1,3,16,16,0.0038192272186279297
within,Minimal,11,11,2,3,16,16,0.1969301700592041
within,Mod. Severe,11,11,1,2,17,17,2.84415340423584
within,Mod. Severe,11,11,1,3,17,17,1.5216960906982422
within,Mod. Severe,11,11,2,3,17,17,1.3224573135375977
within,Severe,11,11,1,2,18,18,2.2905139923095703
within,Severe,11,11,1,3,18,18,1.1796588897705078
within,Severe,11,11,2,3,18,18,3.470172882080078
within,Mild,11,11,1,2,19,19,1.0311636924743652
within,Mild,11,11,1,3,19,19,0.327974796295166
within,Mild,11,11,2,3,19,19,1.3591384887695312
within,Moderate,11,11,1,2,20,20,0.3638648986816406
within,Moderate,11,11,1,3,20,20,2.254140853881836
within,Moderate,11,11,2,3,20,20,2.6180057525634766
within,Mild,11,11,1,2,21,21,3.1386518478393555
within,Mild,11,11,1,3,21,21,2.49102783203125
within,Mild,11,11,2,3,21,21,0.6476240158081055
within,Severe,11,11,1,2,22,22,2.4937191009521484
within,Severe,11,11,1,3,22,22,0.3355293273925781
within,Severe,11,11,2,3,22,22,2.1581897735595703
within,Moderate,11,11,1,2,23,23,6.786413192749023
within,Moderate,11,11,1,3,23,23,1.8614387512207031
within,Moderate,11,11,2,3,23,23,4.92497444152832
within,Mod. Severe,11,11,1,2,24,24,1.2969169616699219
within,Mod. Severe,11,11,1,3,24,24,0.8963594436645508
within,Mod. Severe,11,11,2,3,24,24,0.4005575180053711
within,Severe,11,11,1,2,25,25,5.195779800415039
within,Severe,11,11,1,3,25,25,0.8016490936279297
within,Severe,11,11,2,3,25,25,5.997428894042969
within,Mod. Severe,11,11,1,2,26,26,2.3812570571899414
within,Mod. Severe,11,11,1,3,26,26,1.6996440887451172
within,Mod. Severe,11,11,2,3,26,26,0.6816129684448242
within,Mild,11,11,1,2,27,27,6.001378297805786
within,Mild,11,11,1,3,27,27,2.1195390224456787
within,Mild,11,11,2,3,27,27,3.8818392753601074
within,Mild,11,11,1,2,28,28,0.9299755096435547
within,Mild,11,11,1,3,28,28,5.014853477478027
within,Mild,11,11,2,3,28,28,5.944828987121582
within,Severe,11,11,1,2,29,29,1.142974853515625
within,Severe,11,11,1,3,29,29,0.3986988067626953
within,Severe,11,11,2,3,29,29,0.7442760467529297
within,Severe,11,11,1,2,30,30,4.4066009521484375
within,Severe,11,11,1,3,30,30,3.5116405487060547
within,Severe,11,11,2,3,30,30,0.8949604034423828
within,Mild,11,11,1,2,31,31,0.13136887550354004
within,Mild,11,11,1,3,31,31,0.13984894752502441
within,Mild,11,11,2,3,31,31,0.27121782302856445
within,Severe,11,11,1,2,32,32,5.292032241821289
within,Severe,11,11,1,3,32,32,6.531187057495117
within,Severe,11,11,2,3,32,32,1.2391548156738281
within,Severe,11,11,1,2,33,33,0.09037399291992188
within,Severe,11,11,1,3,33,33,1.50518798828125
within,Severe,11,11,2,3,33,33,1.5955619812011719
within,Severe,11,11,1,2,34,34,1.641286849975586
within,Severe,11,11,1,3,34,34,0.8712444305419922
within,Severe,11,11,2,3,34,34,2.512531280517578
within,Mild,11,11,1,2,35,35,9.00133466720581
within,Mild,11,11,1,3,35,35,3.269164562225342
within,Mild,11,11,2,3,35,35,5.732170104980469
within,Mild,11,11,1,2,36,36,1.969827651977539
within,Mild,11,11,1,3,36,36,2.596714973449707
within,Mild,11,11,2,3,36,36,0.626887321472168
within,Severe,11,11,1,2,37,37,7.136479377746582
within,Severe,11,11,1,3,37,37,6.032412528991699
within,Severe,11,11,2,3,37,37,1.1040668487548828
within,Severe,11,11,1,2,38,38,1.569131851196289
within,Severe,11,11,1,3,38,38,0.6381187438964844
within,Severe,11,11,2,3,38,38,0.9310131072998047
within,Severe,11,11,1,2,39,39,0.8057632446289062
within,Severe,11,11,1,3,39,39,0.3659038543701172
within,Severe,11,11,2,3,39,39,1.1716670989990234
within,Severe,11,11,1,2,40,40,7.449928283691406
within,Severe,11,11,1,3,40,40,0.44025421142578125
within,Severe,11,11,2,3,40,40,7.009674072265625
within,Mod. Severe,11,11,1,2,41,41,0.09195423126220703
within,Mod. Severe,11,11,1,3,41,41,3.19155216217041
within,Mod. Severe,11,11,2,3,41,41,3.283506393432617
within,Mild,11,11,1,2,42,42,0.5674328804016113
within,Mild,11,11,1,3,42,42,0.807349681854248
within,Mild,11,11,2,3,42,42,0.23991680145263672
within,Moderate,11,11,1,2,43,43,9.827052116394043
within,Moderate,11,11,1,3,43,43,3.0703611373901367
within,Moderate,11,11,2,3,43,43,6.756690979003906
within,Severe,11,11,1,2,44,44,0.22834396362304688
within,Severe,11,11,1,3,44,44,4.654705047607422
within,Severe,11,11,2,3,44,44,4.426361083984375
within,Minimal,11,11,1,2,45,45,1.0648240447044373
within,Minimal,11,11,1,3,45,45,0.8234634399414062
within,Minimal,11,11,2,3,45,45,0.241360604763031
within,Mod. Severe,11,11,1,2,46,46,3.7870311737060547
within,Mod. Severe,11,11,1,3,46,46,0.6401519775390625
within,Mod. Severe,11,11,2,3,46,46,3.146879196166992
within,Moderate,11,11,1,2,47,47,0.5587034225463867
within,Moderate,11,11,1,3,47,47,0.865447998046875
within,Moderate,11,11,2,3,47,47,0.3067445755004883
within,Severe,11,11,1,2,48,48,1.3147125244140625
within,Severe,11,11,1,3,48,48,4.397258758544922
within,Severe,11,11,2,3,48,48,5.711971282958984
within,Minimal,11,11,1,2,49,49,4.69279670715332
within,Minimal,11,11,1,3,49,49,3.084303855895996
within,Minimal,11,11,2,3,49,49,1.6084928512573242
within,Severe,11,11,1,2,50,50,1.7704963684082031
within,Severe,11,11,1,3,50,50,2.4833717346191406
within,Severe,11,11,2,3,50,50,0.7128753662109375
within,Moderate,11,11,1,2,51,51,0.8038549423217773
within,Moderate,11,11,1,3,51,51,1.7355289459228516
within,Moderate,11,11,2,3,51,51,0.9316740036010742
within,Minimal,11,11,1,2,52,52,7.793053388595581
within,Minimal,11,11,1,3,52,52,3.898919105529785
within,Minimal,11,11,2,3,52,52,11.691972494125366
within,Moderate,11,11,1,2,53,53,0.8317403793334961
within,Moderate,11,11,1,3,53,53,1.1806669235229492
within,Moderate,11,11,2,3,53,53,0.3489265441894531
within,Mild,11,11,1,2,54,54,3.419795036315918
within,Mild,11,11,1,3,54,54,2.0446062088012695
within,Mild,11,11,2,3,54,54,1.3751888275146484
within,Severe,11,11,1,2,55,55,5.615455627441406
within,Severe,11,11,1,3,55,55,1.4035911560058594
within,Severe,11,11,2,3,55,55,4.211864471435547
within,Mild,11,11,1,2,56,56,3.349294662475586
within,Mild,11,11,1,3,56,56,6.332056045532227
within,Mild,11,11,2,3,56,56,2.9827613830566406
within,Severe,11,11,1,2,57,57,2.5521678924560547
within,Severe,11,11,1,3,57,57,0.1681041717529297
within,Severe,11,11,2,3,57,57,2.7202720642089844
within,Mild,11,11,1,2,58,58,5.46818733215332
within,Mild,11,11,1,3,58,58,4.416408538818359
within,Mild,11,11,2,3,58,58,1.051778793334961
within,Mild,11,11,1,2,59,59,0.7339119911193848
within,Mild,11,11,1,3,59,59,1.506028652191162
within,Mild,11,11,2,3,59,59,0.7721166610717773
within,Moderate,23,23,1,2,0,0,2.8602352142333984
within,Moderate,23,23,1,3,0,0,3.8115272521972656
within,Moderate,23,23,2,3,0,0,0.9512920379638672
within,Minimal,23,23,1,2,1,1,0.07429087162017822
within,Minimal,23,23,1,3,1,1,1.2804182767868042
within,Minimal,23,23,2,3,1,1,1.3547091484069824
within,Minimal,23,23,1,2,2,2,0.2862536907196045
within,Minimal,23,23,1,3,2,2,0.3628275394439697
within,Minimal,23,23,2,3,2,2,0.07657384872436523
within,Moderate,23,23,1,2,3,3,1.5896711349487305
within,Moderate,23,23,1,3,3,3,1.9399089813232422
within,Moderate,23,23,2,3,3,3,0.3502378463745117
within,Moderate,23,23,1,2,4,4,1.1692619323730469
within,Moderate,23,23,1,3,4,4,4.949154853820801
within,Moderate,23,23,2,3,4,4,3.779892921447754
within,Severe,23,23,1,2,5,5,3.735396385192871
within,Severe,23,23,1,3,5,5,6.388312339782715
within,Severe,23,23,2,3,5,5,2.6529159545898438
within,Mod. Severe,23,23,1,2,6,6,0.26725196838378906
within,Mod. Severe,23,23,1,3,6,6,1.1167926788330078
within,Mod. Severe,23,23,2,3,6,6,0.8495407104492188
within,Mod. Severe,23,23,1,2,7,7,0.1968669891357422
within,Mod. Severe,23,23,1,3,7,7,1.2904539108276367
within,Mod. Severe,23,23,2,3,7,7,1.0935869216918945
within,Minimal,23,23,1,2,8,8,1.3665262460708618
within,Minimal,23,23,1,3,8,8,0.5958330631256104
within,Minimal,23,23,2,3,8,8,1.9623593091964722
within,Mild,23,23,1,2,9,9,2.838498115539551
within,Mild,23,23,1,3,9,9,0.5083885192871094
within,Mild,23,23,2,3,9,9,3.34688663482666
within,Moderate,23,23,1,2,10,10,5.078611373901367
within,Moderate,23,23,1,3,10,10,3.388530731201172
within,Moderate,23,23,2,3,10,10,1.6900806427001953
within,Severe,23,23,1,2,11,11,0.6604518890380859
within,Severe,23,23,1,3,11,11,3.399484634399414
within,Severe,23,23,2,3,11,11,4.0599365234375
within,Minimal,23,23,1,2,12,12,0.4085233211517334
within,Minimal,23,23,1,3,12,12,0.9518296718597412
within,Minimal,23,23,2,3,12,12,0.5433063507080078
within,Moderate,23,23,1,2,13,13,4.923454284667969
within,Moderate,23,23,1,3,13,13,7.4181671142578125
within,Moderate,23,23,2,3,13,13,2.4947128295898438
within,Moderate,23,23,1,2,14,14,1.831181526184082
within,Moderate,23,23,1,3,14,14,4.884799003601074
within,Moderate,23,23,2,3,14,14,3.053617477416992
