pair_type,band,setting_a,setting_b,rep_a,rep_b,agent_a,agent_b,delta
within,Moderate,11,11,1,2,0,0,0.24353671073913574
within,Moderate,11,11,1,3,0,0,6.561986207962036
within,Moderate,11,11,2,3,0,0,6.805522918701172
within,Minimal,11,11,1,2,1,1,1.1849961280822754
within,Minimal,11,11,1,3,1,1,0.009347915649414062
within,Minimal,11,11,2,3,1,1,1.1756482124328613
within,Minimal,11,11,1,2,2,2,4.773057460784912
within,Minimal,11,11,1,3,2,2,0.7406749725341797
within,Minimal,11,11,2,3,2,2,5.513732433319092
within,Moderate,11,11,1,2,3,3,0.9770927429199219
within,Moderate,11,11,1,3,3,3,4.505492210388184
within,Moderate,11,11,2,3,3,3,5.4825849533081055
within,Moderate,11,11,1,2,4,4,4.583332061767578
within,Moderate,11,11,1,3,4,4,0.37209320068359375
within,Moderate,11,11,2,3,4,4,4.955425262451172
within,Severe,11,11,1,2,5,5,0.7806148529052734
within,Severe,11,11,1,3,5,5,2.270357131958008
within,Severe,11,11,2,3,5,5,3.0509719848632812
within,Mod. Severe,11,11,1,2,6,6,0.9797782897949219
within,Mod. Severe,11,11,1,3,6,6,5.982407569885254
within,Mod. Severe,11,11,2,3,6,6,5.002629280090332
within,Mod. Severe,11,11,1,2,7,7,5.3529253005981445
within,Mod. Severe,11,11,1,3,7,7,4.287022590637207
within,Mod. Severe,11,11,2,3,7,7,1.0659027099609375
within,Minimal,11,11,1,2,8,8,0.7350137829780579
within,Minimal,11,11,1,3,8,8,0.206437349319458
within,Minimal,11,11,2,3,8,8,0.5285764336585999
within,Mild,11,11,1,2,9,9,0.23131275177001953
within,Mild,11,11,1,3,9,9,3.670973777770996
within,Mild,11,11,2,3,9,9,3.4396610260009766
within,Moderate,11,11,1,2,10,10,9.724457740783691
within,Moderate,11,11,1,3,10,10,7.173124313354492
within,Moderate,11,11,2,3,10,10,2.551333427429199
within,Severe,11,11,1,2,11,11,0.7083930969238281
within,Severe,11,11,1,3,11,11,1.7433090209960938
within,Severe,11,11,2,3,11,11,1.0349159240722656
within,Minimal,11,11,1,2,12,12,1.1055675148963928
within,Minimal,11,11,1,3,12,12,0.9128109812736511
within,Minimal,11,11,2,3,12,12,0.1927565336227417
within,Moderate,11,11,1,2,13,13,2.8812808990478516
within,Moderate,11,11,1,3,13,13,1.3025875091552734
within,Moderate,11,11,2,3,13,13,1.5786933898925781
within,Moderate,11,11,1,2,14,14,0.5626287460327148
within,Moderate,11,11,1,3,14,14,0.5428447723388672
within,Moderate,11,11,2,3,14,14,1.105473518371582
within,Severe,11,11,1,2,15,15,0.8658828735351562
within,Severe,11,11,1,3,15,15,0.2305622100830078
within,Severe,11,11,2,3,15,15,0.6353206634521484
within,Minimal,11,11,1,2,16,16,0.12819135189056396
within,Minimal,11,11,1,3,16,16,0.8455857038497925
within,Minimal,11,11,2,3,16,16,0.7173943519592285
within,Mod. Severe,11,11,1,2,17,17,3.2852096557617188
within,Mod. Severe,11,11,1,3,17,17,0.6154594421386719
within,Mod. Severe,11,11,2,3,17,17,2.669750213623047
within,Severe,11,11,1,2,18,18,2.5432510375976562
within,Severe,11,11,1,3,18,18,1.8511772155761719
within,Severe,11,11,2,3,18,18,4.394428253173828
within,Mild,11,11,1,2,19,19,5.801480770111084
within,Mild,11,11,1,3,19,19,0.09274530410766602
within,Mild,11,11,2,3,19,19,5.708735466003418
within,Moderate,11,11,1,2,20,20,3.330683708190918
within,Moderate,11,11,1,3,20,20,5.279515266418457
within,Moderate,11,11,2,3,20,20,1.948831558227539
within,Mild,11,11,1,2,21,21,0.38771820068359375
within,Mild,11,11,1,3,21,21,0.08249711990356445
within,Mild,11,11,2,3,21,21,0.4702153205871582
within,Severe,11,11,1,2,22,22,1.7071075439453125
within,Severe,11,11,1,3,22,22,1.0285053253173828
within,Severe,11,11,2,3,22,22,2.7356128692626953
within,Moderate,11,11,1,2,23,23,1.6993284225463867
within,Moderate,11,11,1,3,23,23,0.24270057678222656
within,Moderate,11,11,2,3,23,23,1.4566278457641602
within,Mod. Severe,11,11,1,2,24,24,2.741281509399414
within,Mod. Severe,11,11,1,3,24,24,2.4476327896118164
