pair_type,band,setting_a,setting_b,rep_a,rep_b,agent_a,agent_b,delta
within,Moderate,11,11,1,2,0,0,0.4736156463623047
within,Moderate,11,11,1,3,0,0,3.7518787384033203
within,Moderate,11,11,2,3,0,0,3.2782630920410156
within,Mod. Severe,11,11,1,2,1,1,1.1232261657714844
within,Mod. Severe,11,11,1,3,1,1,3.2131385803222656
within,Mod. Severe,11,11,2,3,1,1,4.33636474609375
within,Severe,11,11,1,2,2,2,0.5265140533447266
within,Severe,11,11,1,3,2,2,0.023401260375976562
within,Severe,11,11,2,3,2,2,0.50311279296875
within,Minimal,11,11,1,2,3,3,5.696291446685791
within,Minimal,11,11,1,3,3,3,4.0536885261535645
within,Minimal,11,11,2,3,3,3,1.6426029205322266
within,Minimal,11,11,1,2,4,4,0.8247394561767578
within,Minimal,11,11,1,3,4,4,0.5162351131439209
within,Minimal,11,11,2,3,4,4,0.3085043430328369
within,Moderate,11,11,1,2,5,5,0.1294088363647461
within,Moderate,11,11,1,3,5,5,2.6433515548706055
within,Moderate,11,11,2,3,5,5,2.7727603912353516
within,Severe,11,11,1,2,6,6,5.502138137817383
within,Severe,11,11,1,3,6,6,0.7958526611328125
within,Severe,11,11,2,3,6,6,4.70628547668457
within,Mod. Severe,11,11,1,2,7,7,2.1739912033081055
within,Mod. Severe,11,11,1,3,7,7,1.2024927139282227
within,Mod. Severe,11,11,2,3,7,7,0.9714984893798828
within,Severe,11,11,1,2,8,8,0.3930683135986328
within,Severe,11,11,1,3,8,8,3.073476791381836
within,Severe,11,11,2,3,8,8,3.4665451049804688
within,Mod. Severe,11,11,1,2,9,9,1.628854751586914
within,Mod. Severe,11,11,1,3,9,9,2.219869613647461
within,Mod. Severe,11,11,2,3,9,9,0.5910148620605469
within,Severe,11,11,1,2,10,10,1.2061519622802734
within,Severe,11,11,1,3,10,10,5.018882751464844
within,Severe,11,11,2,3,10,10,3.8127307891845703
within,Moderate,11,11,1,2,11,11,1.4676456451416016
within,Moderate,11,11,1,3,11,11,2.346827507019043
within,Moderate,11,11,2,3,11,11,3.8144731521606445
within,Mild,11,11,1,2,12,12,1.7222986221313477
within,Mild,11,11,1,3,12,12,0.9220991134643555
within,Mild,11,11,2,3,12,12,2.644397735595703
within,Minimal,11,11,1,2,13,13,2.985546112060547
within,Minimal,11,11,1,3,13,13,1.023190975189209
within,Minimal,11,11,2,3,13,13,1.962355136871338
within,Severe,11,11,1,2,14,14,4.549383163452148
within,Severe,11,11,1,3,14,14,2.629972457885742
within,Severe,11,11,2,3,14,14,1.9194107055664062
within,Severe,11,11,1,2,15,15,0.2400646209716797
within,Severe,11,11,1,3,15,15,2.3417320251464844
within,Severe,11,11,2,3,15,15,2.581796646118164
within,Mod. Severe,11,11,1,2,16,16,4.304286956787109
within,Mod. Severe,11,11,1,3,16,16,2.904895782470703
within,Mod. Severe,11,11,2,3,16,16,7.2091827392578125
within,Minimal,11,11,1,2,17,17,1.0874238014221191
within,Minimal,11,11,1,3,17,17,0.6803088188171387
within,Minimal,11,11,2,3,17,17,1.7677326202392578
within,Moderate,11,11,1,2,18,18,0.6044778823852539
within,Moderate,11,11,1,3,18,18,2.3469486236572266
within,Moderate,11,11,2,3,18,18,1.7424707412719727
within,Mild,11,11,1,2,19,19,1.6723132133483887
within,Mild,11,11,1,3,19,19,0.19541406631469727
within,Mild,11,11,2,3,19,19,1.867727279663086
within,Mod. Severe,11,11,1,2,20,20,1.1777963638305664
within,Mod. Severe,11,11,1,3,20,20,1.3757257461547852
within,Mod. Severe,11,11,2,3,20,20,2.5535221099853516
within,Minimal,11,11,1,2,21,21,0.6503893136978149
within,Minimal,11,11,1,3,21,21,0.1463414430618286
within,Minimal,11,11,2,3,21,21,0.7967307567596436
within,Severe,11,11,1,2,22,22,2.0615901947021484
within,Severe,11,11,1,3,22,22,1.5176105499267578
within,Severe,11,11,2,3,22,22,0.5439796447753906
within,Minimal,11,11,1,2,23,23,0.7375040054321289
within,Minimal,11,11,1,3,23,23,2.011777877807617
within,Minimal,11,11,2,3,23,23,1.2742738723754883
within,Severe,11,11,1,2,24,24,3.8968067169189453
within,Severe,11,11,1,3,24,24,3.659578323364258
within,Severe,11,11,2,3,24,24,0.2372283935546875
within,Moderate,11,11,1,2,25,25,0.26723480224609375
within,Moderate,11,11,1,3,25,25,0.991241455078125
within,Moderate,11,11,2,3,25,25,0.7240066528320312
within,Severe,11,11,1,2,26,26,0.7780914306640625
within,Severe,11,11,1,3,26,26,1.1386299133300781
within,Severe,11,11,2,3,26,26,0.3605384826660156
within,Severe,11,11,1,2,27,27,1.1308059692382812
within,Severe,11,11,1,3,27,27,1.6781253814697266
within,Severe,11,11,2,3,27,27,0.5473194122314453
within,Severe,11,11,1,2,28,28,1.1854362487792969
within,Severe,11,11,1,3,28,28,4.096525192260742
within,Severe,11,11,2,3,28,28,5.281961441040039
within,Mild,11,11,1,2,29,29,3.3322067260742188
within,Mild,11,11,1,3,29,29,4.522150993347168
within,Mild,11,11,2,3,29,29,1.1899442672729492
within,Moderate,11,11,1,2,30,30,4.158537864685059
within,Moderate,11,11,1,3,30,30,3.985574722290039
within,Moderate,11,11,2,3,30,30,0.17296314239501953
within,Minimal,11,11,1,2,31,31,3.689448833465576
within,Minimal,11,11,1,3,31,31,0.03039836883544922
within,Minimal,11,11,2,3,31,31,3.659050464630127
within,Severe,11,11,1,2,32,32,0.9778995513916016
within,Severe,11,11,1,3,32,32,0.2868518829345703
within,Severe,11,11,2,3,32,32,1.2647514343261719
within,Moderate,11,11,1,2,33,33,2.6800785064697266
within,Moderate,11,11,1,3,33,33,1.313755989074707
within,Moderate,11,11,2,3,33,33,1.3663225173950195
within,Severe,11,11,1,2,34,34,3.067537307739258
within,Severe,11,11,1,3,34,34,0.9959831237792969
within,Severe,11,11,2,3,34,34,4.063520431518555
within,Severe,11,11,1,2,35,35,5.6390380859375
within,Severe,11,11,1,3,35,35,4.449363708496094
within,Severe,11,11,2,3,35,35,1.1896743774414062
within,Mild,11,11,1,2,36,36,0.7359724044799805
within,Mild,11,11,1,3,36,36,4.47622013092041
within,Mild,11,11,2,3,36,36,5.212192535400391
within,Minimal,11,11,1,2,37,37,0.673352837562561
within,Minimal,11,11,1,3,37,37,0.30484509468078613
within,Minimal,11,11,2,3,37,37,0.3685077428817749
within,Mod. Severe,11,11,1,2,38,38,5.933332443237305
within,Mod. Severe,11,11,1,3,38,38,0.46965980529785156
within,Mod. Severe,11,11,2,3,38,38,6.402992248535156
within,Moderate,11,11,1,2,39,39,2.602815628051758
within,Moderate,11,11,1,3,39,39,1.0898418426513672
within,Moderate,11,11,2,3,39,39,3.692657470703125
within,Severe,11,11,1,2,40,40,2.984683036804199
within,Severe,11,11,1,3,40,40,0.06902408599853516
within,Severe,11,11,2,3,40,40,2.915658950805664
within,Moderate,11,11,1,2,41,41,0.9379854202270508
within,Moderate,11,11,1,3,41,41,0.04361724853515625
within,Moderate,11,11,2,3,41,41,0.981602668762207
within,Moderate,11,11,1,2,42,42,0.40134239196777344
within,Moderate,11,11,1,3,42,42,0.8293485641479492
within,Moderate,11,11,2,3,42,42,0.4280061721801758
within,Mild,11,11,1,2,43,43,2.2560787200927734
within,Mild,11,11,1,3,43,43,1.9124860763549805
within,Mild,11,11,2,3,43,43,4.168564796447754
within,Severe,11,11,1,2,44,44,1.2182121276855469
within,Severe,11,11,1,3,44,44,0.6101703643798828
within,Severe,11,11,2,3,44,44,0.6080417633056641
within,Severe,11,11,1,2,45,45,0.2989616394042969
within,Severe,11,11,1,3,45,45,1.6046943664550781
within,Severe,11,11,2,3,45,45,1.903656005859375
within,Severe,11,11,1,2,46,46,3.9714412689208984
within,Severe,11,11,1,3,46,46,0.7847843170166016
within,Severe,11,11,2,3,46,46,3.186656951904297
within,Severe,11,11,1,2,47,47,1.282958984375
within,Severe,11,11,1,3,47,47,3.6329822540283203
within,Severe,11,11,2,3,47,47,2.3500232696533203
within,Severe,11,11,1,2,48,48,4.371938705444336
within,Severe,11,11,1,3,48,48,4.440710067749023
within,Severe,11,11,2,3,48,48,0.0687713623046875
within,Severe,11,11,1,2,49,49,0.9097061157226562
within,Severe,11,11,1,3,49,49,0.5692081451416016
within,Severe,11,11,2,3,49,49,0.3404979705810547
within,Mod. Severe,11,11,1,2,50,50,0.049330711364746094
within,Mod. Severe,11,11,1,3,50,50,1.3641901016235352
within,Mod. Severe,11,11,2,3,50,50,1.314859390258789
within,Moderate,11,11,1,2,51,51,5.9324951171875
within,Moderate,11,11,1,3,51,51,6.760322570800781
within,Moderate,11,11,2,3,51,51,0.8278274536132812
within,Mod. Severe,11,11,1,2,52,52,1.0343198776245117
within,Mod. Severe,11,11,1,3,52,52,2.300112724304199
within,Mod. Severe,11,11,2,3,52,52,1.2657928466796875
within,Moderate,11,11,1,2,53,53,3.917163848876953
within,Moderate,11,11,1,3,53,53,4.7405853271484375
within,Moderate,11,11,2,3,53,53,8.65774917602539
within,Mild,11,11,1,2,54,54,3.4324307441711426
within,Mild,11,11,1,3,54,54,0.54425048828125
within,Mild,11,11,2,3,54,54,2.8881802558898926
within,Minimal,11,11,1,2,55,55,0.8547859191894531
within,Minimal,11,11,1,3,55,55,0.7894167900085449
within,Minimal,11,11,2,3,55,55,1.644202709197998
within,Severe,11,11,1,2,56,56,3.5920562744140625
within,Severe,11,11,1,3,56,56,0.3996410369873047
within,Severe,11,11,2,3,56,56,3.991697311401367
within,Moderate,11,11,1,2,57,57,0.035872459411621094
within,Moderate,11,11,1,3,57,57,3.1188859939575195
within,Moderate,11,11,2,3,57,57,3.0830135345458984
within,Severe,11,11,1,2,58,58,1.9811134338378906
within,Severe,11,11,1,3,58,58,1.6858959197998047
within,Severe,11,11,2,3,58,58,0.29521751403808594
within,Severe,11,11,1,2,59,59,0.6787700653076172
within,Severe,11,11,1,3,59,59,2.5147323608398438
within,Severe,11,11,2,3,59,59,1.8359622955322266
within,Moderate,23,23,1,2,0,0,0.21747303009033203
within,Moderate,23,23,1,3,0,0,1.9001169204711914
within,Moderate,23,23,2,3,0,0,1.6826438903808594
within,Mod. Severe,23,23,1,2,1,1,0.19569015502929688
within,Mod. Severe,23,23,1,3,1,1,2.6848812103271484
within,Mod. Severe,23,23,2,3,1,1,2.8805713653564453
within,Severe,23,23,1,2,2,2,2.815265655517578
within,Severe,23,23,1,3,2,2,0.9013519287109375
within,Severe,23,23,2,3,2,2,1.9139137268066406
within,Minimal,23,23,1,2,3,3,1.8653430938720703
within,Minimal,23,23,1,3,3,3,0.5750317573547363
within,Minimal,23,23,2,3,3,3,1.290311336517334
within,Minimal,23,23,1,2,4,4,1.5204663276672363
within,Minimal,23,23,1,3,4,4,0.7608819007873535
within,Minimal,23,23,2,3,4,4,0.7595844268798828
within,Moderate,23,23,1,2,5,5,2.9143896102905273
within,Moderate,23,23,1,3,5,5,4.167361736297607
within,Moderate,23,23,2,3,5,5,1.25297212600708
within,Severe,23,23,1,2,6,6,0.7504825592041016
within,Severe,23,23,1,3,6,6,2.312387466430664
within,Severe,23,23,2,3,6,6,1.5619049072265625
within,Mod. Severe,23,23,1,2,7,7,0.2271270751953125
within,Mod. Severe,23,23,1,3,7,7,0.9174957275390625
within,Mod. Severe,23,23,2,3,7,7,1.144622802734375
within,Severe,23,23,1,2,8,8,4.999172210693359
within,Severe,23,23,1,3,8,8,1.2072410583496094
within,Severe,23,23,2,3,8,8,3.79193115234375
within,Mod. Severe,23,23,1,2,9,9,5.207773208618164
within,Mod. Severe,23,23,1,3,9,9,1.034383773803711
within,Mod. Severe,23,23,2,3,9,9,4.173389434814453
within,Severe,23,23,1,2,10,10,3.6016979217529297
within,Severe,23,23,1,3,10,10,3.1876449584960938
within,Severe,23,23,2,3,10,10,0.41405296325683594
within,Moderate,23,23,1,2,11,11,3.895540237426758
within,Moderate,23,23,1,3,11,11,2.947399139404297
within,Moderate,23,23,2,3,11,11,6.842939376831055
within,Mild,23,23,1,2,12,12,3.220857620239258
within,Mild,23,23,1,3,12,12,1.9751782417297363
within,Mild,23,23,2,3,12,12,1.2456793785095215
within,Minimal,23,23,1,2,13,13,0.5830748081207275
within,Minimal,23,23,1,3,13,13,0.03747701644897461
within,Minimal,23,23,2,3,13,13,0.5455977916717529
within,Severe,23,23,1,2,14,14,2.488086700439453
within,Severe,23,23,1,3,14,14,2.706693649291992
within,Severe,23,23,2,3,14,14,0.21860694885253906
within,Severe,23,23,1,2,15,15,4.026884078979492
within,Severe,23,23,1,3,15,15,3.559083938598633
within,Severe,23,23,2,3,15,15,0.4678001403808594
within,Mod. Severe,23,23,1,2,16,16,3.7747583389282227
within,Mod. Severe,23,23,1,3,16,16,1.7385177612304688
within,Mod. Severe,23,23,2,3,16,16,2.036240577697754
within,Minimal,23,23,1,2,17,17,1.3156609535217285
within,Minimal,23,23,1,3,17,17,4.462615966796875
within,Minimal,23,23,2,3,17,17,3.1469550132751465
within,Moderate,23,23,1,2,18,18,1.0064716339111328
within,Moderate,23,23,1,3,18,18,3.7081260681152344
within,Moderate,23,23,2,3,18,18,4.714597702026367
within,Mild,23,23,1,2,19,19,1.7961668968200684
within,Mild,23,23,1,3,19,19,3.940408945083618
within,Mild,23,23,2,3,19,19,5.7365758419036865
within,Mod. Severe,23,23,1,2,20,20,4.608990669250488
within,Mod. Severe,23,23,1,3,20,20,2.077157974243164
within,Mod. Severe,23,23,2,3,20,20,6.686148643493652
within,Minimal,23,23,1,2,21,21,0.09008204936981201
within,Minimal,23,23,1,3,21,21,0.585297703742981
within,Minimal,23,23,2,3,21,21,0.675379753112793
within,Severe,23,23,1,2,22,22,1.7885150909423828
within,Severe,23,23,1,3,22,22,0.7760429382324219
within,Severe,23,23,2,3,22,22,1.012472152709961
within,Minimal,23,23,1,2,23,23,1.3644297122955322
within,Minimal,23,23,1,3,23,23,0.025877714157104492
within,Minimal,23,23,2,3,23,23,1.3903074264526367
within,Severe,23,23,1,2,24,24,3.145925521850586
within,Severe,23,23,1,3,24,24,1.3177947998046875
within,Severe,23,23,2,3,24,24,1.8281307220458984
within,Moderate,23,23,1,2,25,25,2.309934616088867
within,Moderate,23,23,1,3,25,25,3.332834243774414
within,Moderate,23,23,2,3,25,25,5.642768859863281
within,Severe,23,23,1,2,26,26,6.546375274658203
within,Severe,23,23,1,3,26,26,4.902460098266602
within,Severe,23,23,2,3,26,26,1.6439151763916016
within,Severe,23,23,1,2,27,27,3.9728851318359375
within,Severe,23,23,1,3,27,27,1.8452949523925781
within,Severe,23,23,2,3,27,27,2.1275901794433594
within,Severe,23,23,1,2,28,28,2.8863658905029297
within,Severe,23,23,1,3,28,28,0.06128501892089844
within,Severe,23,23,2,3,28,28,2.947650909423828
within,Mild,23,23,1,2,29,29,5.035918235778809
within,Mild,23,23,1,3,29,29,3.609402656555176
within,Mild,23,23,2,3,29,29,1.4265155792236328
within,Moderate,23,23,1,2,30,30,6.990849494934082
within,Moderate,23,23,1,3,30,30,5.845879554748535
within,Moderate,23,23,2,3,30,30,1.1449699401855469
within,Minimal,23,23,1,2,31,31,0.21297168731689453
within,Minimal,23,23,1,3,31,31,8.765003442764282
within,Minimal,23,23,2,3,31,31,8.977975130081177
within,Severe,23,23,1,2,32,32,1.6003456115722656
within,Severe,23,23,1,3,32,32,0.9351081848144531
within,Severe,23,23,2,3,32,32,0.6652374267578125
within,Moderate,23,23,1,2,33,33,1.8113574981689453
within,Moderate,23,23,1,3,33,33,0.6654605865478516
within,Moderate,23,23,2,3,33,33,2.476818084716797
within,Severe,23,23,1,2,34,34,1.290792465209961
within,Severe,23,23,1,3,34,34,1.3504619598388672
within,Severe,23,23,2,3,34,34,2.641254425048828
within,Severe,23,23,1,2,35,35,1.0289974212646484
within,Severe,23,23,1,3,35,35,3.3452396392822266
within,Severe,23,23,2,3,35,35,4.374237060546875
within,Mild,23,23,1,2,36,36,1.6749801635742188
within,Mild,23,23,1,3,36,36,0.6477251052856445
within,Mild,23,23,2,3,36,36,1.0272550582885742
within,Minimal,23,23,1,2,37,37,0.7111643552780151
within,Minimal,23,23,1,3,37,37,0.37064290046691895
within,Minimal,23,23,2,3,37,37,1.081807255744934
within,Mod. Severe,23,23,1,2,38,38,8.041206359863281
within,Mod. Severe,23,23,1,3,38,38,0.6112709045410156
within,Mod. Severe,23,23,2,3,38,38,7.429935455322266
within,Moderate,23,23,1,2,39,39,0.9139909744262695
within,Moderate,23,23,1,3,39,39,3.1109347343444824
within,Moderate,23,23,2,3,39,39,4.024925708770752
within,Severe,23,23,1,2,40,40,0.20042705535888672
within,Severe,23,23,1,3,40,40,3.8123130798339844
within,Severe,23,23,2,3,40,40,3.6118860244750977
within,Moderate,23,23,1,2,41,41,0.07238101959228516
within,Moderate,23,23,1,3,41,41,3.692859649658203
within,Moderate,23,23,2,3,41,41,3.7652406692504883
within,Moderate,23,23,1,2,42,42,3.3537235260009766
within,Moderate,23,23,1,3,42,42,5.635297775268555
within,Moderate,23,23,2,3,42,42,2.281574249267578
within,Mild,23,23,1,2,43,43,0.420320987701416
within,Mild,23,23,1,3,43,43,2.0530242919921875
within,Mild,23,23,2,3,43,43,1.6327033042907715
within,Severe,23,23,1,2,44,44,1.3369731903076172
within,Severe,23,23,1,3,44,44,2.2864341735839844
within,Severe,23,23,2,3,44,44,0.9494609832763672
within,Severe,23,23,1,2,45,45,8.083337783813477
within,Severe,23,23,1,3,45,45,4.928188323974609
within,Severe,23,23,2,3,45,45,3.155149459838867
within,Severe,23,23,1,2,46,46,3.6391429901123047
within,Severe,23,23,1,3,46,46,5.495912551879883
within,Severe,23,23,2,3,46,46,1.8567695617675781
within,Severe,23,23,1,2,47,47,0.534149169921875
within,Severe,23,23,1,3,47,47,2.7443294525146484
within,Severe,23,23,2,3,47,47,2.2101802825927734
within,Severe,23,23,1,2,48,48,0.13463401794433594
within,Severe,23,23,1,3,48,48,1.6206645965576172
within,Severe,23,23,2,3,48,48,1.7552986145019531
within,Severe,23,23,1,2,49,49,2.1712284088134766
within,Severe,23,23,1,3,49,49,2.365385055541992
within,Severe,23,23,2,3,49,49,4.536613464355469
within,Mod. Severe,23,23,1,2,50,50,1.5339727401733398
within,Mod. Severe,23,23,1,3,50,50,1.4540729522705078
within,Mod. Severe,23,23,2,3,50,50,2.9880456924438477
within,Moderate,23,23,1,2,51,51,1.2240095138549805
within,Moderate,23,23,1,3,51,51,4.2353620529174805
within,Moderate,23,23,2,3,51,51,3.0113525390625
within,Mod. Severe,23,23,1,2,52,52,3.9028358459472656
within,Mod. Severe,23,23,1,3,52,52,4.533511161804199
within,Mod. Severe,23,23,2,3,52,52,0.6306753158569336
within,Moderate,23,23,1,2,53,53,4.890892028808594
within,Moderate,23,23,1,3,53,53,5.655235290527344
within,Moderate,23,23,2,3,53,53,0.76434326171875
within,Mild,23,23,1,2,54,54,4.030122756958008
within,Mild,23,23,1,3,54,54,3.8897552490234375
within,Mild,23,23,2,3,54,54,0.1403675079345703
within,Minimal,23,23,1,2,55,55,2.9204273223876953
within,Minimal,23,23,1,3,55,55,2.2343430519104004
within,Minimal,23,23,2,3,55,55,0.6860842704772949
within,Severe,23,23,1,2,56,56,2.164407730102539
within,Severe,23,23,1,3,56,56,1.3491802215576172
within,Severe,23,23,2,3,56,56,3.5135879516601562
within,Moderate,23,23,1,2,57,57,0.6758594512939453
within,Moderate,23,23,1,3,57,57,3.125539779663086
within,Moderate,23,23,2,3,57,57,3.8013992309570312
within,Severe,23,23,1,2,58,58,0.3440589904785156
within,Severe,23,23,1,3,58,58,0.8502140045166016
within,Severe,23,23,2,3,58,58,1.1942729949951172
within,Severe,23,23,1,2,59,59,3.016366958618164
within,Severe,23,23,1,3,59,59,1.56280517578125
within,Severe,23,23,2,3,59,59,1.453561782836914
within,Moderate,47,47,1,2,0,0,5.402446746826172
within,Moderate,47,47,1,3,0,0,5.95417594909668
within,Moderate,47,47,2,3,0,0,0.5517292022705078
within,Mod. Severe,47,47,1,2,1,1,2.2190017700195312
within,Mod. Severe,47,47,1,3,1,1,2.571125030517578
within,Mod. Severe,47,47,2,3,1,1,0.3521232604980469
within,Severe,47,47,1,2,2,2,0.007110595703125
within,Severe,47,47,1,3,2,2,2.2336597442626953
within,Severe,47,47,2,3,2,2,2.2407703399658203
within,Minimal,47,47,1,2,3,3,2.288361072540283
within,Minimal,47,47,1,3,3,3,0.21897029876708984
within,Minimal,47,47,2,3,3,3,2.0693907737731934
within,Minimal,47,47,1,2,4,4,0.9213521480560303
within,Minimal,47,47,1,3,4,4,0.504033088684082
within,Minimal,47,47,2,3,4,4,0.41731905937194824
within,Moderate,47,47,1,2,5,5,0.9830002784729004
within,Moderate,47,47,1,3,5,5,1.8700966835021973
within,Moderate,47,47,2,3,5,5,2.8530969619750977
within,Severe,47,47,1,2,6,6,1.762990951538086
within,Severe,47,47,1,3,6,6,3.730213165283203
within,Severe,47,47,2,3,6,6,1.9672222137451172
within,Mod. Severe,47,47,1,2,7,7,0.2719554901123047
within,Mod. Severe,47,47,1,3,7,7,1.4233646392822266
within,Mod. Severe,47,47,2,3,7,7,1.1514091491699219
within,Severe,47,47,1,2,8,8,1.0970945358276367
within,Severe,47,47,1,3,8,8,1.474787712097168
within,Severe,47,47,2,3,8,8,0.37769317626953125
within,Mod. Severe,47,47,1,2,9,9,0.2677116394042969
within,Mod. Severe,47,47,1,3,9,9,3.5662689208984375
