pair_type,band,setting_a,setting_b,rep_a,rep_b,agent_a,agent_b,delta
within,Mild,mild,mild,1,2,0,0,5.125190734863281
within,Mild,mild,mild,1,3,0,0,8.800787925720215
within,Mild,mild,mild,2,3,0,0,3.6755971908569336
within,Mild,mild,mild,1,2,1,1,0.6267647743225098
within,Mild,mild,mild,1,3,1,1,4.668112754821777
within,Mild,mild,mild,2,3,1,1,4.041347980499268
within,Mild,mild,mild,1,2,2,2,1.6657333374023438
within,Mild,mild,mild,1,3,2,2,6.410468101501465
within,Mild,mild,mild,2,3,2,2,4.744734764099121
within,Mild,mild,mild,1,2,3,3,0.8209915161132812
within,Mild,mild,mild,1,3,3,3,0.5244998931884766
within,Mild,mild,mild,2,3,3,3,0.2964916229248047
within,Mild,mild,mild,1,2,4,4,0.16801834106445312
within,Mild,mild,mild,1,3,4,4,0.06858110427856445
within,Mild,mild,mild,2,3,4,4,0.23659944534301758
within,Mild,mild,mild,1,2,5,5,3.1195054054260254
within,Mild,mild,mild,1,3,5,5,1.2811627388000488
within,Mild,mild,mild,2,3,5,5,1.8383426666259766
within,Mild,mild,mild,1,2,6,6,1.686711311340332
within,Mild,mild,mild,1,3,6,6,0.7081966400146484
within,Mild,mild,mild,2,3,6,6,0.9785146713256836
within,Mild,mild,mild,1,2,7,7,3.5340867042541504
within,Mild,mild,mild,1,3,7,7,0.4049544334411621
within,Mild,mild,mild,2,3,7,7,3.1291322708129883
within,Mild,mild,mild,1,2,8,8,1.8241004943847656
within,Mild,mild,mild,1,3,8,8,3.075084924697876
within,Mild,mild,mild,2,3,8,8,1.2509844303131104
within,Mild,mild,mild,1,2,9,9,0.34276437759399414
within,Mild,mild,mild,1,3,9,9,1.9369120597839355
within,Mild,mild,mild,2,3,9,9,1.5941476821899414
within,Mild,mild,mild,1,2,10,10,3.910924196243286
within,Mild,mild,mild,1,3,10,10,0.15711188316345215
within,Mild,mild,mild,2,3,10,10,3.753812313079834
within,Mild,mild,mild,1,2,11,11,1.6264464855194092
within,Mild,mild,mild,1,3,11,11,0.9162521362304688
within,Mild,mild,mild,2,3,11,11,0.7101943492889404
within,Mild,mild,mild,1,2,12,12,3.0741705894470215
within,Mild,mild,mild,1,3,12,12,6.075088977813721
within,Mild,mild,mild,2,3,12,12,3.000918388366699
within,Mild,mild,mild,1,2,13,13,5.02427339553833
within,Mild,mild,mild,1,3,13,13,6.863023996353149
within,Mild,mild,mild,2,3,13,13,1.8387506008148193
within,Mild,mild,mild,1,2,14,14,1.6227645874023438
within,Mild,mild,mild,1,3,14,14,5.978883743286133
within,Mild,mild,mild,2,3,14,14,4.356119155883789
within,Mild,mild,mild,1,2,15,15,0.12470340728759766
within,Mild,mild,mild,1,3,15,15,4.3282928466796875
within,Mild,mild,mild,2,3,15,15,4.452996253967285
within,Mild,mild,mild,1,2,16,16,0.383819580078125
within,Mild,mild,mild,1,3,16,16,0.6466054916381836
within,Mild,mild,mild,2,3,16,16,1.0304250717163086
within,Mild,mild,mild,1,2,17,17,2.212555408477783
within,Mild,mild,mild,1,3,17,17,3.9956283569335938
within,Mild,mild,mild,2,3,17,17,1.7830729484558105
within,Mild,mild,mild,1,2,18,18,1.0641984939575195
within,Mild,mild,mild,1,3,18,18,2.998197078704834
within,Mild,mild,mild,2,3,18,18,1.9339985847473145
within,Mild,mild,mild,1,2,19,19,0.14430594444274902
within,Mild,mild,mild,1,3,19,19,0.8866972923278809
within,Mild,mild,mild,2,3,19,19,1.0310032367706299
within,Mild,mild,mild,1,2,20,20,5.390471458435059
within,Mild,mild,mild,1,3,20,20,5.015869140625
within,Mild,mild,mild,2,3,20,20,0.3746023178100586
within,Mild,mild,mild,1,2,21,21,1.4843955039978027
within,Mild,mild,mild,1,3,21,21,2.084738254547119
within,Mild,mild,mild,2,3,21,21,0.6003427505493164
within,Mild,mild,mild,1,2,22,22,3.499717950820923
within,Mild,mild,mild,1,3,22,22,0.834653377532959
within,Mild,mild,mild,2,3,22,22,2.665064573287964
within,Mild,mild,mild,1,2,23,23,6.354129791259766
within,Mild,mild,mild,1,3,23,23,6.6702165603637695
within,Mild,mild,mild,2,3,23,23,0.3160867691040039
within,Mild,mild,mild,1,2,24,24,5.04769229888916
within,Mild,mild,mild,1,3,24,24,2.087162494659424
within,Mild,mild,mild,2,3,24,24,2.9605298042297363
within,Mild,mild,mild,1,2,25,25,3.6969852447509766
within,Mild,mild,mild,1,3,25,25,2.7415003776550293
within,Mild,mild,mild,2,3,25,25,0.9554848670959473
within,Mild,mild,mild,1,2,26,26,8.317343711853027
within,Mild,mild,mild,1,3,26,26,0.0688333511352539
within,Mild,mild,mild,2,3,26,26,8.248510360717773
within,Mild,mild,mild,1,2,27,27,3.6375222206115723
within,Mild,mild,mild,1,3,27,27,1.996110439300537
within,Mild,mild,mild,2,3,27,27,1.6414117813110352
within,Mild,mild,mild,1,2,28,28,0.25223588943481445
within,Mild,mild,mild,1,3,28,28,0.705169677734375
within,Mild,mild,mild,2,3,28,28,0.45293378829956055
within,Mild,mild,mild,1,2,29,29,0.14630651473999023
within,Mild,mild,mild,1,3,29,29,3.7595651149749756
within,Mild,mild,mild,2,3,29,29,3.6132586002349854
within,Mild,mild,mild,1,2,30,30,1.559086799621582
within,Mild,mild,mild,1,3,30,30,1.2074594497680664
within,Mild,mild,mild,2,3,30,30,2.7665462493896484
within,Mild,mild,mild,1,2,31,31,2.0426135063171387
within,Mild,mild,mild,1,3,31,31,0.7648992538452148
within,Mild,mild,mild,2,3,31,31,1.2777142524719238
within,Mild,mild,mild,1,2,32,32,5.545536756515503
within,Mild,mild,mild,1,3,32,32,4.861721515655518
within,Mild,mild,mild,2,3,32,32,0.6838152408599854
within,Mild,mild,mild,1,2,33,33,11.295082092285156
within,Mild,mild,mild,1,3,33,33,7.884167671203613
within,Mild,mild,mild,2,3,33,33,3.410914421081543
within,Mild,mild,mild,1,2,34,34,2.636108875274658
within,Mild,mild,mild,1,3,34,34,0.777000904083252
within,Mild,mild,mild,2,3,34,34,3.41310977935791
within,Mild,mild,mild,1,2,35,35,0.8100194931030273
within,Mild,mild,mild,1,3,35,35,1.3518877029418945
