setting,severity_step,mean_adjacent_cos,sd_across_reps
baseline,Minimal→Mild,0.8326023611289065,0.02314162007537125
baseline,Mild→Moderate,0.8513936521206222,0.014793538695041982
baseline,Moderate→Mod. Severe,0.9293920050807548,0.014595040016962012
baseline,Mod. Severe→Severe,0.9382827549517693,0.010167432503725026
temp_lo,Minimal→Mild,0.8422431068772886,0.008207013052342038
temp_lo,Mild→Moderate,0.873228497573009,0.008070516969902972
temp_lo,Moderate→Mod. Severe,0.9288334233459393,0.005100688105104195
temp_lo,Mod. Severe→Severe,0.930683546694563,0.00392963714258285
temp_hi,Minimal→Mild,0.8499213363819713,0.02206206418794265
temp_hi,Mild→Moderate,0.8891806873596009,0.01108113632037229
temp_hi,Moderate→Mod. Severe,0.9058989849570006,0.021848271243742303
temp_hi,Mod. Severe→Severe,0.9363154821998747,0.010374353322322378
topp_lo,Minimal→Mild,0.859417024421175,0.0034461142514462056
topp_lo,Mild→Moderate,0.8894854752966613,0.012036979843823467
topp_lo,Moderate→Mod. Severe,0.9308264722742722,0.007912495790199484
topp_lo,Mod. Severe→Severe,0.9355477689805024,0.009360062407178583
topp_hi,Minimal→Mild,0.85914996414138,0.01460049935993332
topp_hi,Mild→Moderate,0.8873654248642869,0.016584709289717635
topp_hi,Moderate→Mod. Severe,0.928812152226424,0.021164010852400085
topp_hi,Mod. Severe→Severe,0.9306658308004976,0.006487096943709346
both_lo,Minimal→Mild,0.855952180276514,0.02144778233475403
both_lo,Mild→Moderate,0.8822727907215716,0.010740882945163972
both_lo,Moderate→Mod. Severe,0.9345061401602915,0.009084217805602214
both_lo,Mod. Severe→Severe,0.9364899517334587,0.008937377524510527
both_hi,Minimal→Mild,0.8678659186347212,0.017605227847042753
both_hi,Mild→Moderate,0.8884622399901921,0.012785160086312116
both_hi,Moderate→Mod. Severe,0.9257554803303801,0.005412523853388224
both_hi,Mod. Severe→Severe,0.9434736489764702,0.001361506373877821
