model,setting,temp,top_p,diversity,div_ci_lo,div_ci_hi,bal_acc,distinct-2,cross-agent J,chars
Gemma-4-31B-it,both_lo,0.7,0.95,0.6054680139943958,0.5888716539293527,0.6210931117503594,0.4624145299145299,0.44546911658807403,0.0874134190784072,137.38
Gemma-4-31B-it,temp_lo,0.7,0.975,0.619206574090058,0.6045977476290136,0.6343795097657615,0.458960113960114,0.4546760589489295,0.08658063298486393,137.11666666666667
Gemma-4-31B-it,topp_lo,1.0,0.95,0.6347690508328379,0.6209072098758383,0.6494327153110255,0.4608333333333332,0.4733983799705449,0.08427302103551927,139.04166666666666
Gemma-4-31B-it,baseline,1.0,0.975,0.6581835801123331,0.64305762489823,0.6726823126142069,0.4281125356125356,0.479666247571151,0.08318640468157013,139.86333333333334
Gemma-4-31B-it,topp_hi,1.0,1.0,0.6557640856380264,0.6409464871915989,0.6695444009335091,0.4557549857549857,0.48014744362784134,0.08287095515788881,140.50666666666666
Gemma-4-31B-it,temp_hi,1.3,0.975,0.6812182993255556,0.6678791069483074,0.6934436206024451,0.4585897435897435,0.503625170998632,0.07975842120331561,140.96777777777777
Gemma-4-31B-it,both_hi,1.3,1.0,0.6990265340738309,0.6863621549324792,0.7120574128649217,0.4394301994301994,0.5128112594731143,0.08003488256901109,142.3461111111111
Qwen3.5-27B,both_lo,0.4,0.8,0.5281905347605547,0.5151339763781677,0.5422004350082328,0.2717877492877493,0.42564815734578326,0.09926998453583649,187.85444444444445
Qwen3.5-27B,temp_lo,0.4,0.9,0.5506153516098857,0.5385298952062925,0.564295644743989,0.3095299145299145,0.43968543046357617,0.09859835966150436,188.44833333333332
Qwen3.5-27B,topp_lo,0.7,0.8,0.5884350290770332,0.5766673419106131,0.6003595268959179,0.2900498575498575,0.4619806507189716,0.09628094574117689,188.3527777777778
Qwen3.5-27B,baseline,0.7,0.9,0.598468965444093,0.5866652692793869,0.6108519887820972,0.2863176638176638,0.47043266861592037,0.09494390872292853,190.47277777777776
Qwen3.5-27B,topp_hi,0.7,1.0,0.6381762714932362,0.6271627937493225,0.6484570312531045,0.3006125356125356,0.4914356090683693,0.09333949631038996,193.60555555555555
Qwen3.5-27B,temp_hi,1.0,0.9,0.6444274302727232,0.6333876767572947,0.6548118763898189,0.3128632478632479,0.5179856115107914,0.0893266804184267,195.27333333333334
Qwen3.5-27B,both_hi,1.0,1.0,0.6858761860926946,0.6754902385181437,0.6960741380288576,0.2866524216524216,0.5532800051400668,0.08380414524479814,196.23666666666668
