pair_type,band,setting_a,setting_b,rep_a,rep_b,agent_a,agent_b,delta
within,Mild,mild,mild,1,2,0,0,1.738152027130127
within,Mild,mild,mild,1,3,0,0,1.270026683807373
within,Mild,mild,mild,2,3,0,0,0.4681253433227539
within,Mild,mild,mild,1,2,1,1,1.4881176948547363
within,Mild,mild,mild,1,3,1,1,4.9793243408203125
within,Mild,mild,mild,2,3,1,1,6.467442035675049
within,Mild,mild,mild,1,2,2,2,3.959141731262207
within,Mild,mild,mild,1,3,2,2,0.6034650802612305
within,Mild,mild,mild,2,3,2,2,3.3556766510009766
within,Mild,mild,mild,1,2,3,3,0.7143049240112305
within,Mild,mild,mild,1,3,3,3,1.7081093788146973
within,Mild,mild,mild,2,3,3,3,0.9938044548034668
within,Mild,mild,mild,1,2,4,4,2.397150993347168
within,Mild,mild,mild,1,3,4,4,3.7673087120056152
within,Mild,mild,mild,2,3,4,4,1.3701577186584473
within,Mild,mild,mild,1,2,5,5,1.2564153671264648
within,Mild,mild,mild,1,3,5,5,1.0106515884399414
within,Mild,mild,mild,2,3,5,5,0.24576377868652344
within,Mild,mild,mild,1,2,6,6,1.2044763565063477
within,Mild,mild,mild,1,3,6,6,4.675618410110474
within,Mild,mild,mild,2,3,6,6,3.471142053604126
within,Mild,mild,mild,1,2,7,7,3.8600335121154785
within,Mild,mild,mild,1,3,7,7,0.30786609649658203
within,Mild,mild,mild,2,3,7,7,4.1678996086120605
within,Mild,mild,mild,1,2,8,8,2.450549840927124
within,Mild,mild,mild,1,3,8,8,0.2251572608947754
within,Mild,mild,mild,2,3,8,8,2.2253925800323486
within,Mild,mild,mild,1,2,9,9,0.10307693481445312
within,Mild,mild,mild,1,3,9,9,4.394438982009888
within,Mild,mild,mild,2,3,9,9,4.497515916824341
within,Mild,mild,mild,1,2,10,10,0.16683721542358398
within,Mild,mild,mild,1,3,10,10,0.04632902145385742
within,Mild,mild,mild,2,3,10,10,0.12050819396972656
within,Mild,mild,mild,1,2,11,11,0.5653157234191895
within,Mild,mild,mild,1,3,11,11,0.7149882316589355
within,Mild,mild,mild,2,3,11,11,0.1496725082397461
within,Mild,mild,mild,1,2,12,12,2.1020994186401367
within,Mild,mild,mild,1,3,12,12,2.3387603759765625
within,Mild,mild,mild,2,3,12,12,0.23666095733642578
within,Mild,mild,mild,1,2,13,13,0.006814002990722656
within,Mild,mild,mild,1,3,13,13,0.26449012756347656
within,Mild,mild,mild,2,3,13,13,0.2576761245727539
within,Mild,mild,mild,1,2,14,14,6.035654067993164
within,Mild,mild,mild,1,3,14,14,0.7716097831726074
within,Mild,mild,mild,2,3,14,14,6.8072638511657715
within,Mild,mild,mild,1,2,15,15,2.292041301727295
within,Mild,mild,mild,1,3,15,15,6.230024814605713
within,Mild,mild,mild,2,3,15,15,8.522066116333008
within,Mild,mild,mild,1,2,16,16,0.16627931594848633
within,Mild,mild,mild,1,3,16,16,0.5157828330993652
within,Mild,mild,mild,2,3,16,16,0.3495035171508789
within,Mild,mild,mild,1,2,17,17,1.1348552703857422
within,Mild,mild,mild,1,3,17,17,0.17353534698486328
within,Mild,mild,mild,2,3,17,17,0.9613199234008789
within,Mild,mild,mild,1,2,18,18,4.097851753234863
within,Mild,mild,mild,1,3,18,18,3.5326600074768066
within,Mild,mild,mild,2,3,18,18,0.5651917457580566
within,Mild,mild,mild,1,2,19,19,2.2219347953796387
within,Mild,mild,mild,1,3,19,19,0.8803367614746094
within,Mild,mild,mild,2,3,19,19,1.3415980339050293
within,Mild,mild,mild,1,2,20,20,0.3958625793457031
within,Mild,mild,mild,1,3,20,20,0.7845487594604492
within,Mild,mild,mild,2,3,20,20,0.3886861801147461
within,Mild,mild,mild,1,2,21,21,0.045169830322265625
within,Mild,mild,mild,1,3,21,21,1.2022614479064941
within,Mild,mild,mild,2,3,21,21,1.2474312782287598
within,Mild,mild,mild,1,2,22,22,0.4985392093658447
within,Mild,mild,mild,1,3,22,22,0.22941136360168457
within,Mild,mild,mild,2,3,22,22,0.26912784576416016
within,Mild,mild,mild,1,2,23,23,2.0366525650024414
within,Mild,mild,mild,1,3,23,23,1.4897193908691406
within,Mild,mild,mild,2,3,23,23,0.5469331741333008
within,Mild,mild,mild,1,2,24,24,2.5309667587280273
within,Mild,mild,mild,1,3,24,24,4.847249984741211
within,Mild,mild,mild,2,3,24,24,2.3162832260131836
within,Mild,mild,mild,1,2,25,25,0.11992120742797852
within,Mild,mild,mild,1,3,25,25,0.48194408416748047
within,Mild,mild,mild,2,3,25,25,0.36202287673950195
within,Mild,mild,mild,1,2,26,26,0.2026081085205078
within,Mild,mild,mild,1,3,26,26,1.2946100234985352
within,Mild,mild,mild,2,3,26,26,1.0920019149780273
within,Mild,mild,mild,1,2,27,27,0.41157007217407227
within,Mild,mild,mild,1,3,27,27,0.09060502052307129
within,Mild,mild,mild,2,3,27,27,0.320965051651001
within,Mild,mild,mild,1,2,28,28,0.0036149024963378906
within,Mild,mild,mild,1,3,28,28,2.849379062652588
within,Mild,mild,mild,2,3,28,28,2.84576416015625
within,Mild,mild,mild,1,2,29,29,4.001505374908447
within,Mild,mild,mild,1,3,29,29,1.3970718383789062
within,Mild,mild,mild,2,3,29,29,2.604433536529541
within,Mild,mild,mild,1,2,30,30,1.4622488021850586
within,Mild,mild,mild,1,3,30,30,4.545242786407471
within,Mild,mild,mild,2,3,30,30,3.082993984222412
