setting,severity_step,mean_adjacent_cos,sd_across_reps
both_lo,Minimal→Mild,0.8438883444403572,0.009577314082308256
both_lo,Mild→Moderate,0.7833540288368019,0.015563564237701373
both_lo,Moderate→Mod. Severe,0.8858914965576566,0.012177590394016488
both_lo,Mod. Severe→Severe,0.9226693834761317,0.007158435100901806
temp_lo,Minimal→Mild,0.846116296513809,0.032391873722084026
temp_lo,Mild→Moderate,0.7849915276247259,0.03699462881709169
temp_lo,Moderate→Mod. Severe,0.8860004604613131,0.016518563264601507
temp_lo,Mod. Severe→Severe,0.9314389374900305,0.00433062854829438
topp_lo,Minimal→Mild,0.8165453478237428,0.04662824599045725
topp_lo,Mild→Moderate,0.7462364970254125,0.01307117668502674
topp_lo,Moderate→Mod. Severe,0.9125441506027169,0.017135358905761143
topp_lo,Mod. Severe→Severe,0.9173813166027296,0.012239890214661391
baseline,Minimal→Mild,0.8357443121108096,0.04219742124820306
baseline,Mild→Moderate,0.8009794775396845,0.024490063317254424
baseline,Moderate→Mod. Severe,0.9033023016589007,0.008887968752509535
baseline,Mod. Severe→Severe,0.929436920003325,0.023632298302466808
topp_hi,Minimal→Mild,0.8418731867767509,0.025660286646868275
topp_hi,Mild→Moderate,0.8057370444095614,0.029509566118055764
topp_hi,Moderate→Mod. Severe,0.8842079449281202,0.012820780653787134
topp_hi,Mod. Severe→Severe,0.9312124228970596,0.002621426535516228
temp_hi,Minimal→Mild,0.864023276550962,0.020752987234769288
temp_hi,Mild→Moderate,0.7632602730518777,0.027646129079855017
temp_hi,Moderate→Mod. Severe,0.9085433154336121,0.004668930729926212
temp_hi,Mod. Severe→Severe,0.9248946085527973,0.009066269750013444
both_hi,Minimal→Mild,0.8630961002373155,0.03023358995502725
both_hi,Mild→Moderate,0.7912576436083958,0.025931111791458235
both_hi,Moderate→Mod. Severe,0.8965135376809243,0.017874706065424496
both_hi,Mod. Severe→Severe,0.931286879634636,0.008755247495528097
