pair_type,band,setting_a,setting_b,rep_a,rep_b,agent_a,agent_b,delta
within,Mild,mild,mild,1,2,0,0,0.9820594787597656
within,Mild,mild,mild,1,3,0,0,1.1199531555175781
within,Mild,mild,mild,2,3,0,0,0.1378936767578125
within,Mild,mild,mild,1,2,1,1,5.264608383178711
within,Mild,mild,mild,1,3,1,1,5.685731887817383
within,Mild,mild,mild,2,3,1,1,10.950340270996094
within,Mild,mild,mild,1,2,2,2,5.3760082721710205
within,Mild,mild,mild,1,3,2,2,4.818012952804565
within,Mild,mild,mild,2,3,2,2,0.5579953193664551
within,Mild,mild,mild,1,2,3,3,3.4210941791534424
within,Mild,mild,mild,1,3,3,3,1.4617292881011963
within,Mild,mild,mild,2,3,3,3,1.959364891052246
within,Mild,mild,mild,1,2,4,4,2.3280553817749023
within,Mild,mild,mild,1,3,4,4,1.7385082244873047
within,Mild,mild,mild,2,3,4,4,4.066563606262207
within,Mild,mild,mild,1,2,5,5,5.236970901489258
within,Mild,mild,mild,1,3,5,5,3.3745975494384766
within,Mild,mild,mild,2,3,5,5,1.8623733520507812
within,Mild,mild,mild,1,2,6,6,0.35132265090942383
within,Mild,mild,mild,1,3,6,6,1.6995518207550049
within,Mild,mild,mild,2,3,6,6,1.348229169845581
within,Mild,mild,mild,1,2,7,7,2.6746482849121094
within,Mild,mild,mild,1,3,7,7,0.4686565399169922
within,Mild,mild,mild,2,3,7,7,3.1433048248291016
within,Mild,mild,mild,1,2,8,8,0.41867518424987793
within,Mild,mild,mild,1,3,8,8,5.8790881633758545
within,Mild,mild,mild,2,3,8,8,6.297763347625732
within,Mild,mild,mild,1,2,9,9,3.0890893936157227
within,Mild,mild,mild,1,3,9,9,4.858745574951172
within,Mild,mild,mild,2,3,9,9,1.7696561813354492
within,Mild,mild,mild,1,2,10,10,0.1586318016052246
within,Mild,mild,mild,1,3,10,10,4.275797367095947
within,Mild,mild,mild,2,3,10,10,4.434429168701172
within,Mild,mild,mild,1,2,11,11,1.9423799514770508
within,Mild,mild,mild,1,3,11,11,0.6097049713134766
within,Mild,mild,mild,2,3,11,11,1.3326749801635742
within,Mild,mild,mild,1,2,12,12,1.59979248046875
within,Mild,mild,mild,1,3,12,12,1.2108287811279297
within,Mild,mild,mild,2,3,12,12,2.8106212615966797
within,Mild,mild,mild,1,2,13,13,2.9650368690490723
within,Mild,mild,mild,1,3,13,13,0.028424739837646484
within,Mild,mild,mild,2,3,13,13,2.9934616088867188
within,Mild,mild,mild,1,2,14,14,0.9465956687927246
within,Mild,mild,mild,1,3,14,14,5.076655387878418
within,Mild,mild,mild,2,3,14,14,4.130059719085693
within,Mild,mild,mild,1,2,15,15,1.990839958190918
within,Mild,mild,mild,1,3,15,15,1.5029706954956055
within,Mild,mild,mild,2,3,15,15,3.4938106536865234
within,Mild,mild,mild,1,2,16,16,1.8661236763000488
within,Mild,mild,mild,1,3,16,16,0.910212516784668
