setting,severity_step,mean_adjacent_cos,sd_across_reps
both_lo,Minimal→Mild,0.8451776838658863,0.026177345390437205
both_lo,Mild→Moderate,0.8823149599336282,0.005004671503944546
both_lo,Moderate→Mod. Severe,0.9196120576869861,0.008066461194908357
both_lo,Mod. Severe→Severe,0.9409167449329433,0.006161502995650818
temp_lo,Minimal→Mild,0.8359961286070914,0.020968877567361596
temp_lo,Mild→Moderate,0.8758452872332216,0.013397273395713725
temp_lo,Moderate→Mod. Severe,0.926542837142828,0.013657559336343961
temp_lo,Mod. Severe→Severe,0.931272836404062,0.011639577065718663
topp_lo,Minimal→Mild,0.8465297580448604,0.013958973243271272
topp_lo,Mild→Moderate,0.8782214164185014,0.017174897058403804
topp_lo,Moderate→Mod. Severe,0.9246050213661127,0.009143686635503469
topp_lo,Mod. Severe→Severe,0.93813585384004,0.005035474177037446
baseline,Minimal→Mild,0.8212957765592325,0.048467815068580895
baseline,Mild→Moderate,0.8720150015685991,0.012501475362040748
baseline,Moderate→Mod. Severe,0.9217558570482719,0.008941674458875273
baseline,Mod. Severe→Severe,0.934851287987768,0.014971102658787505
topp_hi,Minimal→Mild,0.8417725297987646,0.011639666428571779
topp_hi,Mild→Moderate,0.871735428056818,0.01033125428294274
topp_hi,Moderate→Mod. Severe,0.9219303653322829,0.014149164600560916
topp_hi,Mod. Severe→Severe,0.9304042042324249,0.006877893498281187
temp_hi,Minimal→Mild,0.8528560538032314,0.01897092584541547
temp_hi,Mild→Moderate,0.8760434950536654,0.006045260832126454
temp_hi,Moderate→Mod. Severe,0.9036400411675926,0.00651339193684534
temp_hi,Mod. Severe→Severe,0.9307565983624242,0.009154477618361204
both_hi,Minimal→Mild,0.8676453121236439,0.013023552182420477
both_hi,Mild→Moderate,0.8793798931000302,0.013137832631481423
both_hi,Moderate→Mod. Severe,0.9027133669187603,0.010153022869362378
both_hi,Mod. Severe→Severe,0.9386867436685257,0.008037830915913069
